OrderID,ProductID,UnitPrice,Quantity,Discount,OrderValue,UnitPrice_Standardized,UnitPrice_Normalized,Quantity_Standardized,Quantity_Normalized,OrderValue_Standardized,OrderValue_Normalized,UnitPrice_Winsorized
10248,11,14.0,12.0,0.0,168.0,-0.2663814099446424,0.009284332688588007,-0.44665547216678114,0.02217741935483871,-0.1855070803256213,0.0014966459096132773,14.0
10248,42,9.8,10.0,0.0,98.0,-0.34267619347389977,0.006034816247582206,-0.514343027225188,0.018145161290322582,-0.20878847309598578,0.0008730434472744118,9.8
10248,72,34.8,5.0,0.0,174.0,0.11145942277167982,0.025377176015473887,-0.6835619148712051,0.008064516129032258,-0.18351153237387577,0.001550097549242323,34.8
10249,14,18.6,9.0,0.0,167.4,-0.1828204565554557,0.012843326885880078,-0.5481868047543914,0.016129032258064516,-0.18570663512079585,0.001491300745650373,18.6
10249,51,42.4,40.0,0.0,1696.0,0.24951665011033605,0.03125725338491296,0.5009702986509148,0.07862903225806452,0.32269246471890595,0.015108996801810229,42.4
10250,41,7.7,10.0,0.0,77.0,-0.3808235852385285,0.004410058027079304,-0.514343027225188,0.018145161290322582,-0.21577289092709512,0.0006859627085727522,7.7
10250,51,42.4,35.0,0.15,1261.3999999999999,0.24951665011033605,0.03125725338491296,0.33175141100489763,0.06854838709677419,0.17814827474747166,0.011237316371346357,42.4
10250,65,16.8,15.0,0.15,214.2,-0.21551822092513745,0.011450676982591878,-0.3451241395791709,0.028225806451612902,-0.17014136109718075,0.0019082235347569285,16.8
10251,22,16.8,6.0,0.05,95.76,-0.21551822092513745,0.011450676982591878,-0.6497181373420017,0.010080645161290322,-0.20953347766463742,0.0008530881684795682,16.8
10251,57,15.6,20.0,0.05,296.4,-0.2373167305049253,0.010522243713733075,-0.17590525193315373,0.038306451612903226,-0.14280235415826706,0.0026405109976748533,15.6
10251,65,16.8,20.0,0.0,336.0,-0.21551822092513745,0.011450676982591878,-0.17590525193315373,0.038306451612903226,-0.12963173767674657,0.0029932918192265546,16.8
10252,20,64.8,40.0,0.05,2462.4,0.6564221622663754,0.048588007736943904,0.5009702986509148,0.07862903225806452,0.5775904564218678,0.021936552903760325,64.8
10252,33,2.0,25.0,0.05,47.5,-0.4843665057425206,0.0,-0.006686364287136612,0.04838709677419355,-0.22558433502317726,0.0004231588137299445,2.5
10252,60,27.2,40.0,0.0,1088.0,-0.026597804566976354,0.019497098646034817,0.5009702986509148,0.07862903225806452,0.120476938942026,0.00969256398606694,27.2
10253,31,10.0,20.0,0.0,200.0,-0.33904310854393516,0.006189555125725338,-0.17590525193315373,0.038306451612903226,-0.17486415791631182,0.0017817213209681874,10.0
10253,39,14.4,42.0,0.0,604.8000000000001,-0.2591152400847131,0.009593810444874276,0.5686578537093216,0.08266129032258064,-0.04023118943854699,0.005387925274607799,14.4
10253,49,16.0,40.0,0.0,640.0,-0.23005056064499602,0.010831721470019342,0.5009702986509148,0.07862903225806452,-0.02852397478830659,0.0057015082270982,16.0
10254,24,3.6,15.0,0.15,45.9,-0.45530182630280347,0.0012379110251450678,-0.3451241395791709,0.028225806451612902,-0.22611648114364274,0.000408905043162199,3.6
10254,55,19.2,21.0,0.15,342.71999999999997,-0.17192120176556183,0.013307543520309478,-0.1420614744039503,0.04032258064516129,-0.1273967239707916,0.0030531576556110857,19.2
10254,74,8.0,21.0,0.0,168.0,-0.3753739578435815,0.0046421663442940036,-0.1420614744039503,0.04032258064516129,-0.1855070803256213,0.0014966459096132773,8.0
10255,2,15.2,20.0,0.0,304.0,-0.24458290036485458,0.010212765957446808,-0.17590525193315373,0.038306451612903226,-0.14027466008605605,0.0027082164078716447,15.2
10255,16,13.9,35.0,0.0,486.5,-0.2681979524096247,0.00920696324951644,0.33175141100489763,0.06854838709677419,-0.07957674322046296,0.004334037113255116,13.9
10255,36,15.2,25.0,0.0,380.0,-0.24458290036485458,0.010212765957446808,-0.006686364287136612,0.04838709677419355,-0.11499771936394605,0.003385270509839556,15.2
10255,59,44.0,30.0,0.0,1320.0,0.27858132955005316,0.03249516441005803,0.16253252335888052,0.05846774193548387,0.19763812640951967,0.011759360718390037,44.0
10256,53,26.2,15.0,0.0,393.0,-0.04476322921679954,0.018723404255319147,-0.3451241395791709,0.028225806451612902,-0.11067403213516408,0.003501082395702488,26.2
10256,77,10.4,12.0,0.0,124.80000000000001,-0.3317769386840059,0.006499032882011605,-0.44665547216678114,0.02217741935483871,-0.1998750255781891,0.001111794104284149,10.4
10257,27,35.1,25.0,0.0,877.5,0.11690905016662685,0.025609284332688588,-0.006686364287136612,0.04838709677419355,0.05046646496828714,0.007817302295747923,35.1
10257,39,14.4,6.0,0.0,86.4,-0.2591152400847131,0.009593810444874276,-0.6497181373420017,0.010080645161290322,-0.21264653246936047,0.000769703610658257,14.4
10257,77,10.4,15.0,0.0,156.0,-0.3317769386840059,0.006499032882011605,-0.3451241395791709,0.028225806451612902,-0.18949817622911236,0.0013897426303551863,10.4
10258,2,15.2,50.0,0.2,608.0,-0.24458290036485458,0.010212765957446808,0.839408073942949,0.09879032258064516,-0.03916689719761606,0.005416432815743289,15.2
10258,5,17.0,65.0,0.2,884.0,-0.21188513599517284,0.01160541586073501,1.3470647368810003,0.12903225806451613,0.05262830858267813,0.007875208238679389,17.0
10258,32,25.6,6.0,0.2,122.88000000000002,-0.05566248400669341,0.01825918762088975,-0.6497181373420017,0.010080645161290322,-0.20051360092274764,0.0010946895796028545,25.6
10259,21,8.0,10.0,0.0,80.0,-0.3753739578435815,0.0046421663442940036,-0.514343027225188,0.018145161290322582,-0.21477511695122234,0.000712688528387275,8.0
10259,37,20.8,1.0,0.0,20.8,-0.14285652232584473,0.014545454545454545,-0.8189370249880189,0.0,-0.23446452340844487,0.0001852990173806915,20.8
10260,41,7.7,16.0,0.25,92.4,-0.3808235852385285,0.004410058027079304,-0.31128036204996745,0.03024193548387097,-0.21065098451761494,0.0008231552502873026,7.7
10260,57,15.6,50.0,0.0,780.0,-0.2373167305049253,0.010522243713733075,0.839408073942949,0.09879032258064516,0.018038810752422346,0.006948713151775931,15.6
10260,62,39.4,15.0,0.25,443.25,0.1950203761608665,0.028936170212765955,-0.3451241395791709,0.028225806451612902,-0.09396131803929529,0.003948739877595745,39.4
