OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderYear,OrderMonth,OrderDay,DayOfWeek,Quarter,Freight_Standardized,Freight_Normalized
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,VINS ET ALCOOLS CHEVALIER,59 rue de l'Abbaye,Reims,Unknown,51100,France,1996,7,4,Thursday,3,-0.2546259072922252,0.05710924752400107
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,TOMS SPEZIALITÄTEN,Luisenstr. 48,Münster,Unknown,44087,Germany,1996,7,5,Friday,3,-0.3365188952271103,0.05185494377616717
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"rua do paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,1996,7,8,Monday,3,-0.12273758536531577,0.06557128220695936
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,VICTUAILLES EN STOCK,"2, rue du Commerce",Lyon,Unknown,69004,France,1996,7,8,Monday,3,-0.21929797412435945,0.059375909131155216
10252,SUPRD,4,1996-07-09,1996-08-06,1996-07-11,2,51.3,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,Unknown,B-6000,Belgium,1996,7,9,Tuesday,3,-0.18002719127258016,0.06189554636410782
10253,HANAR,3,1996-07-10,1996-07-24,1996-07-16,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,1996,7,10,Wednesday,3,-0.1529398139440938,0.06363348891334321
10254,CHOPS,5,1996-07-11,1996-08-08,1996-07-23,2,22.98,Chop-suey Chinese,Hauptstr. 31,BERN,Unknown,3012,Switzerland,1996,7,11,Thursday,3,-0.29168869432101285,0.054731276641495595
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,Richter Supermarkt,Starenweg 5,Genève,Unknown,1204,Switzerland,1996,7,12,Friday,3,0.20254751355755501,0.08644177133533186
10256,WELLI,3,1996-07-15,1996-08-12,1996-07-17,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,1996,7,15,Monday,3,-0.3272137699730743,0.05245196625305152
10257,HILAA,4,1996-07-16,1996-08-13,1996-07-22,3,81.91,HILARION-ABASTOS,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,1996,7,16,Tuesday,3,-0.05933656244798534,0.0696391302697985
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.51,ernst handel,KIRCHGASSE 6,Graz,Unknown,8010,Austria,1996,7,17,Wednesday,3,0.1717144290293507,0.08446350194158793
10259,CENTC,4,1996-07-18,1996-08-15,1996-07-25,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,méxico d.f.,Unknown,05022,Mexico,1996,7,18,Thursday,3,-0.3694811185846279,0.04974006754449209
10260,OTTIK,4,1996-07-19,1996-08-16,1996-07-29,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,köln,Unknown,50739,Germany,1996,7,19,Friday,3,-0.16508379097054765,0.06285432398588396
