CustomerID,TotalOrders,TotalSpent,TotalFreight,AverageOrderValue
ALFKI,6,4281.64,225.58,713.6066666666667
ANATR,4,1402.95,97.42,350.7375
ANTON,7,7023.9775,268.52,1003.4253571428571
AROUT,13,13390.65,608.75,1030.05
BERGS,19,27149.9775,1728.1599999999999,1428.9461842105263
BLAUS,6,3090.8,159.41,515.1333333333333
BLONP,11,18534.08,623.66,1684.9163636363637
BOLID,3,4232.85,191.17000000000002,1410.95
BONAP,17,21963.2525,1357.87,1291.9560294117646
BOTTM,14,20404.8,793.9499999999999,1457.4857142857143
BSBEV,10,6009.9,281.31,600.99
CACTU,6,1814.8,72.76,302.46666666666664
CENTC,1,100.8,3.25,100.8
CHOPS,8,12348.88,367.24,1543.61
COMMI,5,3810.75,187.82,762.15
CONSH,3,1719.1,53.620000000000005,573.0333333333333
DRACD,6,3763.21,306.04,627.2016666666667
DUMON,4,1615.9,63.7,403.975
EASTC,8,14675.035,832.3399999999999,1834.379375
ERNSH,29,107531.4785,5451.13,3707.9820172413793
FAMIA,7,4107.55,232.75000000000003,586.7928571428572
FOLIG,5,11666.9,637.94,2333.38
FOLKO,19,29567.5625,1678.0800000000002,1556.1875
FRANK,15,32090.5595,1403.44,2139.3706333333334
FRANR,3,3172.1600000000003,171.42,1057.3866666666668
FRANS,6,1913.7,75.13000000000001,318.95
FURIB,8,6427.4225,278.67,803.4278125
GALED,5,836.7,37.980000000000004,167.34
GODOS,10,11320.36,568.27,1132.036
GOURL,9,7534.135,322.38,837.1261111111112
GREAL,11,18051.45,2349.77,1641.040909090909
GROSR,2,1488.7,122.16,744.35
HANAR,14,31990.27,2632.29,2285.0192857142856
HILAA,18,20130.684,1259.16,1118.3713333333335
HUNGC,5,3063.2,207.08,612.64
HUNGO,19,49379.905,6433.09,2598.9423684210524
ISLAT,10,6146.3,363.65,614.63
KOENE,15,31876.202999999998,1343.6799999999998,2125.0802
LACOR,4,1992.05,87.49,498.0125
LAMAI,14,9328.2,614.5400000000001,666.3000000000001
LAUGB,3,452.5,9.92,150.83333333333334
LAZYK,2,357.0,19.4,178.5
LEHMS,15,28902.66,1017.03,1926.844
LETSS,4,3076.4725,202.11,769.118125
LILAS,14,15485.85,734.41,1106.132142857143
LINOD,12,19211.335,391.69000000000005,1600.9445833333332
LONEP,8,8850.6,79.86,1106.325
MAGAA,10,10112.215,469.75,1011.2215
MAISD,7,9736.075,458.90999999999997,1390.8678571428572
MEREP,13,28974.315000000002,1394.22,2228.7934615384615
MORGK,5,5042.200000000001,322.04,1008.4400000000002
NORTS,4,901.0,38.98,225.25
OCEAN,5,3460.2,306.64,692.04
OLDWO,10,15177.4625,983.53,1517.74625
OTTIK,10,12496.2,862.74,1249.6200000000001
PERIC,7,4354.2,278.35999999999996,622.0285714285714
PICCO,10,30919.260000000002,1186.1100000000001,3091.9260000000004
PRINI,5,5044.9400000000005,364.86,1008.988
QUEDE,10,45580.81,373.09000000000003,4558.081
QUEEN,13,44695.64750000001,5163.37,3438.1267307692315
QUICK,28,110844.085,5605.63,3958.7173214285717
RANCH,5,2454.1,219.18,490.82
RATTC,18,55108.6005,2134.21,3061.5889166666666
REGGC,12,7048.24,319.56,587.3533333333334
RICAR,11,17793.4,632.95,1617.5818181818183
RICSU,10,19343.779,1001.29,1934.3779
ROMEY,5,1445.69,64.47,289.13800000000003
SANTG,6,115878.15,275.5,19313.024999999998
SAVEA,31,138195.59,9924.9,4457.922258064516
SEVES,9,16215.325,913.81,1801.7027777777778
SIMOB,7,28509.8975,448.84999999999997,4072.8424999999997
SPECD,4,2423.35,108.27999999999999,605.8375
SPLIR,9,11441.630000000001,558.67,1271.2922222222223
SUPRD,12,23928.78,821.23,1994.0649999999998
THEBI,4,3361.0,262.09,840.25
THECR,3,1947.24,129.96,649.08
TOMSP,6,4778.14,125.97,796.3566666666667
TORTU,10,13149.75,475.63,1314.975
TRADH,6,31186.664,274.56,5197.777333333333
TRAIH,3,1571.1999999999998,70.01,523.7333333333332
VAFFE,11,15860.775,2794.15,1441.8886363636364
VICTE,10,9256.529999999999,493.25,925.6529999999999
VINET,5,1480.0,58.410000000000004,296.0
WANDK,10,9588.425,432.87,958.8425
WARTH,15,15313.9025,822.48,1020.9268333333333
WELLI,9,6068.2,194.70999999999998,674.2444444444444
WHITC,14,27147.605,1353.06,1939.1146428571428
WILMK,7,3161.35,88.41,451.62142857142857
WOLZA,7,3531.95,175.74,504.5642857142857
ZZZZZ,2,6899.0,763.11,3449.5
