CustomerID,TotalOrders,TotalSpent,AvgOrderValue,StdOrderValue
ALFKI,6,4281.64,713.6066666666667,249.52226567315924
ANATR,4,1402.95,350.7375,194.06672982507845
ANTON,7,7023.9775,1003.4253571428571,708.9209327245595
AROUT,13,13390.65,1030.05,1199.5312046100898
BERGS,19,27149.9775,1428.9461842105263,976.3796719615275
BLAUS,6,3090.8,515.1333333333333,259.17335253969816
BLONP,11,18534.08,1684.9163636363637,1975.8196593832783
BOLID,3,4232.85,1410.95,1449.8243367732523
BONAP,17,21963.2525,1291.9560294117646,768.4831618494576
BOTTM,14,20404.8,1457.4857142857143,1071.7284214293518
BSBEV,10,6009.9,600.99,457.139449791369
CACTU,6,1814.8,302.46666666666664,228.43425020488206
CENTC,1,100.8,100.8,0.0
CHOPS,8,12348.88,1543.61,629.7921787837182
COMMI,5,3810.75,762.15,844.8217193585875
CONSH,3,1719.1,573.0333333333333,391.05319757461814
DRACD,6,3763.21,627.2016666666667,625.5292664749321
DUMON,4,1615.9,403.975,338.1258382614378
EASTC,8,14675.035,1834.379375,1223.6319989991084
ERNSH,29,107531.4785,3707.9820172413793,3607.896067769779
FAMIA,7,4107.55,586.7928571428572,570.3105930021607
FOLIG,5,11666.9,2333.38,1924.1258981677888
FOLKO,19,29567.5625,1556.1875,1440.742204769289
FRANK,15,32090.5595,2139.3706333333334,1425.697530857245
FRANR,3,3172.1600000000003,1057.3866666666668,618.5637740228032
FRANS,6,1913.7,318.95,371.3630662841958
FURIB,8,6427.4225,803.4278125,697.5330874786994
GALED,5,836.7,167.34,100.86266901088828
GODOS,10,11320.36,1132.036,939.232728444991
GOURL,9,7534.135,837.1261111111112,1065.904652694654
GREAL,11,18051.45,1641.040909090909,2634.081936833798
GROSR,2,1488.7,744.35,504.662109732839
HANAR,14,31990.27,2285.0192857142856,3950.9774327051787
HILAA,18,20130.684,1118.3713333333335,748.7035475486944
HUNGC,5,3063.2,612.64,625.9121248226463
HUNGO,19,49379.905,2598.9423684210524,2421.250465558591
ISLAT,10,6146.3,614.63,529.5064117752598
KOENE,15,31876.202999999998,2125.0802,2806.3146315212866
LACOR,4,1992.05,498.0125,269.1894326027677
LAMAI,14,9328.2,666.3000000000001,761.4284826763242
LAUGB,3,452.5,150.83333333333334,114.07709381524992
LAZYK,2,357.0,178.5,44.54772721475249
LEHMS,15,28902.66,1926.844,2740.2298859874422
LETSS,4,3076.4725,769.118125,459.8399976593987
LILAS,14,15485.85,1106.132142857143,756.525534005791
LINOD,12,19211.335,1746.485,1110.9675657956898
LONEP,8,8850.6,1106.325,1679.6010646664201
MAGAA,10,10112.215,1011.2215,1160.6854300657626
MAISD,7,9736.075,1390.8678571428572,878.9656828902989
MEREP,13,28974.315000000002,2228.7934615384615,2423.1173829141603
MORGK,5,5042.200000000001,1008.4400000000002,840.1989692923933
NORTS,4,901.0,225.25,129.08233806373357
OCEAN,5,3460.2,692.04,902.5869531518833
OLDWO,10,15177.4625,1517.74625,964.6606763457538
OTTIK,10,12496.2,1249.6200000000001,602.4619643641876
PERIC,7,4354.2,622.0285714285714,480.8321145482614
PICCO,10,30919.260000000002,3091.9260000000004,3558.347201769072
PRINI,5,5044.9400000000005,1008.988,932.4740883906641
QUEDE,10,45580.81,4558.081,12580.75055435481
QUEEN,13,44695.64750000001,3438.1267307692315,5554.002237570199
QUICK,28,110844.085,3958.7173214285717,3455.040943398254
RANCH,5,2454.1,490.82,336.5074620272187
RATTC,18,55108.6005,3061.5889166666666,3166.2146782564223
REGGC,12,7048.24,587.3533333333334,545.5197734493612
RICAR,11,17793.4,1617.5818181818183,1689.4237062564746
RICSU,10,19343.779,1934.3779,1299.8135873098156
ROMEY,5,1445.69,289.13800000000003,175.39669101781823
SANTG,6,115878.15,19313.024999999998,45813.34088000732
SAVEA,31,138195.59,4457.922258064516,7515.41212821291
SEVES,9,16215.325,1801.7027777777778,818.7364027615631
SIMOB,7,28509.8975,4072.8424999999997,5410.82877152748
SPECD,4,2423.35,605.8375,966.6458705018779
SPLIR,9,11441.630000000001,1271.2922222222223,1478.0992945483888
SUPRD,12,23928.78,1994.0649999999998,1419.726194527407
THEBI,4,3361.0,840.25,1294.4534329206285
THECR,3,1947.24,649.08,646.32157568814
TOMSP,6,4778.14,796.3566666666667,624.8965073247463
TORTU,10,13149.75,1314.975,1199.3589454950045
TRADH,6,31186.664,5197.777333333333,10352.25379641374
TRAIH,3,1571.1999999999998,523.7333333333332,266.1034447979457
VAFFE,11,15860.775,1441.8886363636364,894.9217452774598
VICTE,10,9256.529999999999,925.6529999999999,872.9654389499684
VINET,5,1480.0,296.0,185.43230570750072
WANDK,10,9588.425,958.8425,549.5015347327168
WARTH,15,15313.9025,1093.8501785714286,725.8617520498706
WELLI,9,6068.2,674.2444444444444,606.246838179613
WHITC,14,27147.605,1939.1146428571428,2164.4354045041437
WILMK,7,3161.35,451.62142857142857,184.61647600982343
WOLZA,7,3531.95,504.5642857142857,212.23886055237722
ZZZZZ,2,6899.0,3449.5,4667.6118626124
