نام جدول,نام ستون,نوع داده نهایی,تعداد ردیف,تعداد NaN,درصد NaN
Categories,CategoryID,int64,8,0,0.00%
Categories,CategoryName,str,8,0,0.00%
Categories,Description,str,8,0,0.00%
Categories,Picture,str,8,0,0.00%
CustomerCustomerDemo,CustomerID,object,0,0,0.00%
CustomerCustomerDemo,CustomerTypeID,object,0,0,0.00%
CustomerDemographics,CustomerTypeID,object,0,0,0.00%
CustomerDemographics,CustomerDesc,object,0,0,0.00%
Customers,CustomerID,str,91,0,0.00%
Customers,CompanyName,str,91,0,0.00%
Customers,ContactName,str,91,0,0.00%
Customers,ContactTitle,str,91,0,0.00%
Customers,Address,str,91,0,0.00%
Customers,City,str,91,0,0.00%
Customers,Region,str,91,0,0.00%
Customers,PostalCode,str,91,0,0.00%
Customers,Country,str,91,0,0.00%
Customers,Phone,str,91,0,0.00%
Customers,Fax,str,91,0,0.00%
Employees,EmployeeID,int64,10,0,0.00%
Employees,LastName,str,10,0,0.00%
Employees,FirstName,str,10,0,0.00%
Employees,Title,str,10,0,0.00%
Employees,TitleOfCourtesy,str,10,0,0.00%
Employees,BirthDate,datetime64[ns],10,0,0.00%
Employees,HireDate,datetime64[ns],10,0,0.00%
Employees,Address,str,10,0,0.00%
Employees,City,str,10,0,0.00%
Employees,Region,str,10,0,0.00%
Employees,PostalCode,str,10,0,0.00%
Employees,Country,str,10,0,0.00%
Employees,HomePhone,str,10,0,0.00%
Employees,Extension,int64,10,0,0.00%
Employees,Photo,str,10,0,0.00%
Employees,Notes,str,10,0,0.00%
Employees,ReportsTo,float64,10,0,0.00%
Employees,PhotoPath,str,10,0,0.00%
EmployeeTerritories,EmployeeID,int64,51,0,0.00%
EmployeeTerritories,TerritoryID,int64,51,0,0.00%
Order_Details,OrderID,int64,2136,0,0.00%
Order_Details,ProductID,int64,2136,0,0.00%
Order_Details,UnitPrice,float64,2136,0,0.00%
Order_Details,Quantity,float64,2136,0,0.00%
Order_Details,Discount,float64,2136,0,0.00%
Orders,OrderID,int64,830,0,0.00%
Orders,CustomerID,str,830,0,0.00%
Orders,EmployeeID,int64,830,0,0.00%
Orders,OrderDate,datetime64[ns],830,0,0.00%
Orders,RequiredDate,datetime64[ns],830,0,0.00%
Orders,ShippedDate,datetime64[ns],830,35,4.22%
Orders,ShipVia,int64,830,0,0.00%
Orders,Freight,float64,830,0,0.00%
Orders,ShipName,str,830,0,0.00%
Orders,ShipAddress,str,830,0,0.00%
Orders,ShipCity,str,830,0,0.00%
Orders,ShipRegion,str,830,0,0.00%
Orders,ShipPostalCode,str,830,0,0.00%
Orders,ShipCountry,str,830,0,0.00%
Products,ProductID,int64,77,0,0.00%
Products,ProductName,str,77,0,0.00%
Products,SupplierID,int64,77,0,0.00%
Products,CategoryID,int64,77,0,0.00%
Products,QuantityPerUnit,str,77,0,0.00%
Products,UnitPrice,float64,77,0,0.00%
Products,UnitsInStock,int64,77,0,0.00%
Products,UnitsOnOrder,int64,77,0,0.00%
Products,ReorderLevel,int64,77,0,0.00%
Products,Discontinued,int64,77,0,0.00%
Region,RegionID,int64,4,0,0.00%
Region,RegionDescription,str,4,0,0.00%
Shippers,ShipperID,int64,3,0,0.00%
Shippers,CompanyName,str,3,0,0.00%
Shippers,Phone,str,3,0,0.00%
Suppliers,SupplierID,int64,29,0,0.00%
Suppliers,CompanyName,str,29,0,0.00%
Suppliers,ContactName,str,29,0,0.00%
Suppliers,ContactTitle,str,29,0,0.00%
Suppliers,Address,str,29,0,0.00%
Suppliers,City,str,29,0,0.00%
Suppliers,Region,str,29,0,0.00%
Suppliers,PostalCode,str,29,0,0.00%
Suppliers,Country,str,29,0,0.00%
Suppliers,Phone,str,29,0,0.00%
Suppliers,Fax,str,29,0,0.00%
Suppliers,HomePage,str,29,0,0.00%
Territories,TerritoryID,int64,55,0,0.00%
Territories,TerritoryDescription,str,55,0,0.00%
Territories,RegionID,int64,55,0,0.00%
