بخش,مورد بررسی,تعداد خطاهای باقی‌مانده,وضعیت,نوع مورد,توضیح
اعتبارسنجی داده‌ها,توالی RequiredDate و OrderDate,0,اصلاح شد,ساختاری,RequiredDate باید بزرگ‌تر یا مساوی OrderDate باشد.
اعتبارسنجی داده‌ها,توالی ShippedDate و OrderDate,0,اصلاح شد,ساختاری,ShippedDate غیرخالی باید بزرگ‌تر یا مساوی OrderDate باشد.
اعتبارسنجی داده‌ها,ارسال دیرتر از RequiredDate,36,نیازمند بررسی کسب‌وکاری,کسب‌وکاری,این مورد برای بررسی کسب‌وکاری نگه داشته شد.
اعتبارسنجی داده‌ها,یکپارچگی OrderID بین Order_Details و Orders,0,اصلاح شد,ساختاری,هر OrderID در Order_Details باید در Orders وجود داشته باشد.
اعتبارسنجی داده‌ها,Quantity مثبت در Order_Details,0,اصلاح شد,ساختاری,Quantity باید بزرگ‌تر از صفر باشد.
اعتبارسنجی داده‌ها,UnitPrice مثبت در Order_Details,0,اصلاح شد,ساختاری,UnitPrice باید بزرگ‌تر از صفر باشد.
اعتبارسنجی داده‌ها,بازه Discount در Order_Details,0,اصلاح شد,ساختاری,Discount باید بین صفر و یک باشد.
اعتبارسنجی داده‌ها,یکپارچگی ProductID بین Order_Details و Products,0,اصلاح شد,ساختاری,هر ProductID در Order_Details باید در Products وجود داشته باشد.
اعتبارسنجی داده‌ها,یکپارچگی CategoryID بین Products و Categories,0,قبول,ساختاری,هر CategoryID در Products باید در Categories وجود داشته باشد.
اعتبارسنجی داده‌ها,کلید اصلی Customers.CustomerID,0,اصلاح شد,ساختاری,شناسه اصلی نباید خالی یا تکراری باشد.
اعتبارسنجی داده‌ها,کلید اصلی Orders.OrderID,0,اصلاح شد,ساختاری,شناسه اصلی نباید خالی یا تکراری باشد.
اعتبارسنجی داده‌ها,کلید اصلی Products.ProductID,0,اصلاح شد,ساختاری,شناسه اصلی نباید خالی یا تکراری باشد.
اعتبارسنجی داده‌ها,کلید اصلی Employees.EmployeeID,0,قبول,ساختاری,شناسه اصلی نباید خالی یا تکراری باشد.
اعتبارسنجی داده‌ها,کلید اصلی Suppliers.SupplierID,0,اصلاح شد,ساختاری,شناسه اصلی نباید خالی یا تکراری باشد.
اعتبارسنجی داده‌ها,کلید اصلی Categories.CategoryID,0,قبول,ساختاری,شناسه اصلی نباید خالی یا تکراری باشد.
اعتبارسنجی داده‌ها,کلید اصلی Shippers.ShipperID,0,قبول,ساختاری,شناسه اصلی نباید خالی یا تکراری باشد.
اعتبارسنجی داده‌ها,کلید اصلی Region.RegionID,0,قبول,ساختاری,شناسه اصلی نباید خالی یا تکراری باشد.
اعتبارسنجی داده‌ها,کلید اصلی Territories.TerritoryID,0,اصلاح شد,ساختاری,شناسه اصلی نباید خالی یا تکراری باشد.
اعتبارسنجی داده‌ها,حفظ متنی بودن Products.QuantityPerUnit,0,قبول,ساختاری,QuantityPerUnit باید متنی بماند و مقدارهای گمشده واقعی با Unknown پر شوند.
