نام جدول,نام ستون,نوع داده نهایی,تعداد ردیف,تعداد NaN,درصد NaN
Categories,CategoryID,int64,8,0,0.00%
Categories,CategoryName,str,8,0,0.00%
Categories,Description,str,8,0,0.00%
Categories,Picture,str,8,0,0.00%
CustomerCustomerDemo,CustomerID,object,0,0,nan%
CustomerCustomerDemo,CustomerTypeID,object,0,0,nan%
CustomerDemographics,CustomerTypeID,object,0,0,nan%
CustomerDemographics,CustomerDesc,object,0,0,nan%
Customers,CustomerID,str,93,0,0.00%
Customers,CompanyName,str,93,0,0.00%
Customers,ContactName,str,93,0,0.00%
Customers,ContactTitle,str,93,0,0.00%
Customers,Address,str,93,0,0.00%
Customers,City,str,93,0,0.00%
Customers,Region,str,93,0,0.00%
Customers,PostalCode,str,93,0,0.00%
Customers,Country,str,93,0,0.00%
Customers,Phone,str,93,0,0.00%
Customers,Fax,str,93,0,0.00%
Employees,EmployeeID,int64,10,0,0.00%
Employees,LastName,str,10,0,0.00%
Employees,FirstName,str,10,0,0.00%
Employees,Title,str,10,0,0.00%
Employees,TitleOfCourtesy,str,10,0,0.00%
Employees,BirthDate,str,10,0,0.00%
Employees,HireDate,str,10,0,0.00%
Employees,Address,str,10,0,0.00%
Employees,City,str,10,0,0.00%
Employees,Region,str,10,0,0.00%
Employees,PostalCode,str,10,0,0.00%
Employees,Country,str,10,0,0.00%
Employees,HomePhone,str,10,0,0.00%
Employees,Extension,int64,10,0,0.00%
Employees,Photo,str,10,0,0.00%
Employees,Notes,str,10,0,0.00%
Employees,ReportsTo,float64,10,0,0.00%
Employees,PhotoPath,str,10,0,0.00%
EmployeeTerritories,EmployeeID,int64,51,0,0.00%
EmployeeTerritories,TerritoryID,int64,51,0,0.00%
Order_Details,OrderID,int64,2140,0,0.00%
Order_Details,ProductID,int64,2140,0,0.00%
Order_Details,UnitPrice,float64,2140,0,0.00%
Order_Details,Quantity,float64,2140,0,0.00%
Order_Details,Discount,float64,2140,0,0.00%
Orders,OrderID,int64,835,0,0.00%
Orders,CustomerID,str,835,0,0.00%
Orders,EmployeeID,int64,835,0,0.00%
Orders,OrderDate,str,835,0,0.00%
Orders,RequiredDate,str,835,0,0.00%
Orders,ShippedDate,str,835,0,0.00%
Orders,ShipVia,int64,835,0,0.00%
Orders,Freight,float64,835,0,0.00%
Orders,ShipName,str,835,0,0.00%
Orders,ShipAddress,str,835,0,0.00%
Orders,ShipCity,str,835,0,0.00%
Orders,ShipRegion,str,835,0,0.00%
Orders,ShipPostalCode,str,835,0,0.00%
Orders,ShipCountry,str,835,0,0.00%
Products,ProductID,int64,78,0,0.00%
Products,ProductName,str,78,0,0.00%
Products,SupplierID,int64,78,0,0.00%
Products,CategoryID,int64,78,0,0.00%
Products,QuantityPerUnit,str,78,0,0.00%
Products,UnitPrice,float64,78,0,0.00%
Products,UnitsInStock,int64,78,0,0.00%
Products,UnitsOnOrder,int64,78,0,0.00%
Products,ReorderLevel,int64,78,0,0.00%
Products,Discontinued,int64,78,0,0.00%
Region,RegionID,int64,4,0,0.00%
Region,RegionDescription,str,4,0,0.00%
Shippers,ShipperID,int64,3,0,0.00%
Shippers,CompanyName,str,3,0,0.00%
Shippers,Phone,str,3,0,0.00%
Suppliers,SupplierID,int64,31,0,0.00%
Suppliers,CompanyName,str,31,0,0.00%
Suppliers,ContactName,str,31,0,0.00%
Suppliers,ContactTitle,str,31,0,0.00%
Suppliers,Address,str,31,0,0.00%
Suppliers,City,str,31,0,0.00%
Suppliers,Region,str,31,0,0.00%
Suppliers,PostalCode,str,31,0,0.00%
Suppliers,Country,str,31,0,0.00%
Suppliers,Phone,str,31,0,0.00%
Suppliers,Fax,str,31,0,0.00%
Suppliers,HomePage,str,31,0,0.00%
Territories,TerritoryID,int64,57,0,0.00%
Territories,TerritoryDescription,str,57,0,0.00%
Territories,RegionID,int64,57,0,0.00%
