نام جدول,نام ستون,نوع داده,تعداد ردیف,تعداد تهی,درصد تهی,تعداد غیرعددی,نمونه مقادیر غیرعددی
Categories,CategoryID,int64,8,0,0.00%,0,ندارد
CustomerCustomerDemo,CustomerID,object,0,0,0.00%,0,ندارد
CustomerCustomerDemo,CustomerTypeID,object,0,0,0.00%,0,ندارد
CustomerDemographics,CustomerTypeID,object,0,0,0.00%,0,ندارد
Customers,CustomerID,str,93,0,0.00%,0,ندارد
Employees,EmployeeID,int64,10,0,0.00%,0,ندارد
EmployeeTerritories,EmployeeID,int64,51,0,0.00%,0,ندارد
EmployeeTerritories,TerritoryID,int64,51,0,0.00%,0,ندارد
Order_Details,OrderID,int64,2140,0,0.00%,0,ندارد
Order_Details,ProductID,int64,2140,0,0.00%,0,ندارد
Orders,OrderID,int64,835,0,0.00%,0,ندارد
Orders,CustomerID,str,835,0,0.00%,0,ندارد
Orders,EmployeeID,int64,835,0,0.00%,0,ندارد
Products,ProductID,int64,78,0,0.00%,0,ندارد
Products,SupplierID,int64,78,0,0.00%,0,ندارد
Products,CategoryID,int64,78,0,0.00%,0,ندارد
Region,RegionID,int64,4,0,0.00%,0,ندارد
Shippers,ShipperID,int64,3,0,0.00%,0,ندارد
Suppliers,SupplierID,int64,31,0,0.00%,0,ندارد
Territories,TerritoryID,int64,57,0,0.00%,0,ندارد
Territories,RegionID,int64,57,0,0.00%,0,ندارد
