نام جدول,نام ستون,نوع داده,تعداد ردیف,تعداد مقدار گمشده,درصد مقدار گمشده
Categories,CategoryID,int64,9,0,0.0
Categories,CategoryName,str,9,0,0.0
Categories,Description,str,9,4,44.44444444444444
Categories,Picture,str,9,0,0.0
CustomerCustomerDemo,CustomerID,object,0,0,0.0
CustomerCustomerDemo,CustomerTypeID,object,0,0,0.0
CustomerDemographics,CustomerTypeID,object,0,0,0.0
CustomerDemographics,CustomerDesc,object,0,0,0.0
Customers,CustomerID,str,93,0,0.0
Customers,CompanyName,str,93,0,0.0
Customers,ContactName,str,93,0,0.0
Customers,ContactTitle,str,93,4,4.301075268817205
Customers,Address,str,93,0,0.0
Customers,City,str,93,0,0.0
Customers,Region,str,93,61,65.59139784946237
Customers,PostalCode,str,93,11,11.827956989247312
Customers,Country,str,93,0,0.0
Customers,Phone,str,93,0,0.0
Customers,Fax,str,93,31,33.33333333333333
Employees,EmployeeID,int64,10,0,0.0
Employees,LastName,str,10,0,0.0
Employees,FirstName,str,10,1,10.0
Employees,Title,str,10,0,0.0
Employees,TitleOfCourtesy,str,10,2,20.0
Employees,BirthDate,str,10,0,0.0
Employees,HireDate,str,10,0,0.0
Employees,Address,str,10,0,0.0
Employees,City,str,10,0,0.0
Employees,Region,str,10,5,50.0
Employees,PostalCode,str,10,0,0.0
Employees,Country,str,10,0,0.0
Employees,HomePhone,str,10,0,0.0
Employees,Extension,int64,10,0,0.0
Employees,Photo,str,10,1,10.0
Employees,Notes,str,10,3,30.0
Employees,ReportsTo,float64,10,1,10.0
Employees,PhotoPath,str,10,1,10.0
EmployeeTerritories,EmployeeID,int64,54,0,0.0
EmployeeTerritories,TerritoryID,int64,54,0,0.0
Order_Details,OrderID,int64,2165,0,0.0
Order_Details,ProductID,int64,2165,0,0.0
Order_Details,UnitPrice,float64,2165,6,0.27713625866050806
Order_Details,Quantity,float64,2165,15,0.6928406466512702
Order_Details,Discount,float64,2165,19,0.8775981524249422
Orders,OrderID,int64,835,0,0.0
Orders,CustomerID,str,835,0,0.0
Orders,EmployeeID,int64,835,0,0.0
Orders,OrderDate,str,835,0,0.0
Orders,RequiredDate,str,835,0,0.0
Orders,ShippedDate,str,835,35,4.191616766467066
Orders,ShipVia,int64,835,0,0.0
Orders,Freight,float64,835,0,0.0
Orders,ShipName,str,835,0,0.0
Orders,ShipAddress,str,835,0,0.0
Orders,ShipCity,str,835,0,0.0
Orders,ShipRegion,str,835,511,61.197604790419156
Orders,ShipPostalCode,str,835,29,3.473053892215569
Orders,ShipCountry,str,835,0,0.0
Products,ProductID,int64,79,0,0.0
Products,ProductName,str,79,0,0.0
Products,SupplierID,int64,79,0,0.0
Products,CategoryID,int64,79,0,0.0
Products,QuantityPerUnit,str,79,26,32.91139240506329
Products,UnitPrice,float64,79,0,0.0
Products,UnitsInStock,int64,79,0,0.0
Products,UnitsOnOrder,int64,79,0,0.0
Products,ReorderLevel,int64,79,0,0.0
Products,Discontinued,int64,79,0,0.0
Region,RegionID,int64,5,0,0.0
Region,RegionDescription,str,5,0,0.0
Shippers,ShipperID,int64,4,0,0.0
Shippers,CompanyName,str,4,0,0.0
Shippers,Phone,str,4,0,0.0
Suppliers,SupplierID,int64,32,0,0.0
Suppliers,CompanyName,str,32,0,0.0
Suppliers,ContactName,str,32,4,12.5
Suppliers,ContactTitle,str,32,0,0.0
Suppliers,Address,str,32,0,0.0
Suppliers,City,str,32,4,12.5
Suppliers,Region,str,32,22,68.75
Suppliers,PostalCode,str,32,0,0.0
Suppliers,Country,str,32,0,0.0
Suppliers,Phone,str,32,0,0.0
Suppliers,Fax,str,32,22,68.75
Suppliers,HomePage,str,32,0,0.0
Territories,TerritoryID,int64,59,0,0.0
Territories,TerritoryDescription,str,59,0,0.0
Territories,RegionID,int64,59,0,0.0
