نام جدول,نام ستون,تعداد مقادیر اصلاح‌شده
Categories,CategoryName,3
Categories,Description,0
Categories,Picture,2
CustomerCustomerDemo,CustomerID,0
CustomerCustomerDemo,CustomerTypeID,0
CustomerDemographics,CustomerTypeID,0
CustomerDemographics,CustomerDesc,0
Customers,CustomerID,0
Customers,CompanyName,40
Customers,ContactName,39
Customers,ContactTitle,0
Customers,Address,39
Customers,City,0
Customers,Region,0
Customers,PostalCode,0
Customers,Country,35
Customers,Phone,34
Customers,Fax,0
Employees,LastName,0
Employees,FirstName,0
Employees,Title,0
Employees,TitleOfCourtesy,0
Employees,BirthDate,0
Employees,HireDate,0
Employees,Address,3
Employees,City,0
Employees,Region,0
Employees,PostalCode,0
Employees,Country,0
Employees,HomePhone,0
Employees,Photo,0
Employees,Notes,7
Employees,PhotoPath,0
Orders,CustomerID,0
Orders,OrderDate,0
Orders,RequiredDate,0
Orders,ShippedDate,0
Orders,ShipName,324
Orders,ShipAddress,345
Orders,ShipCity,217
Orders,ShipRegion,0
Orders,ShipPostalCode,0
Orders,ShipCountry,0
Products,ProductName,34
Products,QuantityPerUnit,0
Region,RegionDescription,5
Shippers,CompanyName,0
Shippers,Phone,4
Suppliers,CompanyName,16
Suppliers,ContactName,15
Suppliers,ContactTitle,0
Suppliers,Address,18
Suppliers,City,0
Suppliers,Region,0
Suppliers,PostalCode,0
Suppliers,Country,15
Suppliers,Phone,17
Suppliers,Fax,0
Suppliers,HomePage,32
Territories,TerritoryDescription,58
