نام جدول,نام ستون,تعداد مقدار دارای فاصله اضافی,درصد مقدار دارای فاصله اضافی
Categories,CategoryName,3,33.33333333333333
Categories,Description,0,0.0
Categories,Picture,0,0.0
CustomerCustomerDemo,CustomerID,0,0.0
CustomerCustomerDemo,CustomerTypeID,0,0.0
CustomerDemographics,CustomerTypeID,0,0.0
CustomerDemographics,CustomerDesc,0,0.0
Customers,CustomerID,0,0.0
Customers,CompanyName,20,21.50537634408602
Customers,ContactName,15,16.129032258064516
Customers,ContactTitle,0,0.0
Customers,Address,16,17.20430107526882
Customers,City,0,0.0
Customers,Region,0,0.0
Customers,PostalCode,0,0.0
Customers,Country,35,37.634408602150536
Customers,Phone,19,20.43010752688172
Customers,Fax,0,0.0
Employees,LastName,0,0.0
Employees,FirstName,0,0.0
Employees,Title,0,0.0
Employees,TitleOfCourtesy,0,0.0
Employees,BirthDate,0,0.0
Employees,HireDate,0,0.0
Employees,Address,1,10.0
Employees,City,0,0.0
Employees,Region,0,0.0
Employees,PostalCode,0,0.0
Employees,Country,0,0.0
Employees,HomePhone,0,0.0
Employees,Photo,0,0.0
Employees,Notes,0,0.0
Employees,PhotoPath,0,0.0
Orders,CustomerID,0,0.0
Orders,OrderDate,0,0.0
Orders,RequiredDate,0,0.0
Orders,ShippedDate,0,0.0
Orders,ShipName,171,20.479041916167663
Orders,ShipAddress,165,19.760479041916167
Orders,ShipCity,180,21.55688622754491
Orders,ShipRegion,0,0.0
Orders,ShipPostalCode,0,0.0
Orders,ShipCountry,0,0.0
Products,ProductName,17,21.518987341772153
Products,QuantityPerUnit,0,0.0
Region,RegionDescription,5,100.0
Shippers,CompanyName,0,0.0
Shippers,Phone,1,25.0
Suppliers,CompanyName,8,25.0
Suppliers,ContactName,7,25.0
Suppliers,ContactTitle,0,0.0
Suppliers,Address,10,31.25
Suppliers,City,0,0.0
Suppliers,Region,0,0.0
Suppliers,PostalCode,0,0.0
Suppliers,Country,15,46.875
Suppliers,Phone,13,40.625
Suppliers,Fax,0,0.0
Suppliers,HomePage,32,100.0
Territories,TerritoryDescription,58,98.30508474576271
